Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,1140255,2,2,3,4,5,0,146,0.00%,9490.3,1781.2
TOTAL,1140255,2,2,3,4,5,0,146,0.00%,9490.3,1781.2
