Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,1264058,2,2,3,4,5,0,74,0.00%,10554.0,1980.8
TOTAL,1264058,2,2,3,4,5,0,74,0.00%,10554.0,1980.8
